Text_Type,Book,Chapter,Window,GGL,G,GG,LGG,GGG,GLG,GLL,LLG,L,LGL,LLL,LL,LG,GL
SN,CS,siddi,99,41,18,3,4,22,43,20,3,4,30,0,0,0,0
SN,CS,siddi,100,40,18,3,4,24,41,19,4,4,29,0,0,0,0
SN,CS,siddi,101,41,18,3,4,23,40,19,4,4,28,0,0,0,0
SN,CS,siddi,102,40,18,3,4,25,38,18,5,4,27,0,0,0,0
SN,CS,siddi,103,39,18,3,4,25,37,17,7,4,26,0,0,0,0
SN,CS,siddi,104,39,18,3,4,25,35,16,8,4,26,0,0,0,0
SN,CS,siddi,105,37,18,3,4,27,33,15,9,4,26,0,0,0,0
SN,CS,siddi,106,35,18,3,5,28,31,14,10,4,26,0,0,0,0
SN,CS,siddi,107,38,18,3,16,31,38,14,12,4,34,2,0,0,0
SN,CS,siddi,108,48,18,3,29,62,55,24,21,3,40,6,0,0,0
SN,CS,siddi,109,49,17,3,31,63,53,25,24,3,39,7,1,0,0
SN,CS,siddi,110,56,16,3,35,73,60,26,29,3,48,12,1,0,0
SN,CS,siddi,111,54,15,3,41,75,62,30,31,3,53,13,1,0,0
SN,CS,siddi,112,65,15,3,54,96,81,36,43,2,65,14,1,0,0
SN,CS,siddi,113,73,14,3,62,103,92,39,51,2,71,18,1,1,0
SN,CS,siddi,114,80,13,3,64,108,100,40,53,2,74,21,1,1,0
SN,CS,siddi,115,94,14,3,84,137,108,41,58,1,86,24,1,1,0
SN,CS,siddi,116,105,13,3,92,146,119,49,64,1,97,25,1,2,0
SN,CS,siddi,117,107,12,3,96,148,123,54,68,1,99,26,1,3,0
SN,CS,siddi,118,109,12,3,103,157,129,56,69,1,103,27,1,3,0
SN,CS,siddi,119,113,12,3,105,158,130,56,70,1,105,27,1,3,0
SN,CS,siddi,120,117,12,2,112,158,135,56,72,2,115,27,1,3,0
SN,CS,siddi,121,136,12,1,133,174,151,64,78,2,129,28,1,3,0
SN,CS,siddi,122,140,11,1,137,180,164,71,85,2,141,32,1,3,0
SN,CS,siddi,123,142,10,1,139,183,166,72,86,2,141,32,1,3,0
SN,CS,siddi,124,142,10,1,139,182,167,74,86,1,140,32,1,4,0
SN,CS,siddi,125,141,10,1,140,182,167,74,86,1,140,32,1,4,0
SN,CS,siddi,126,139,10,1,141,183,167,74,86,1,140,32,1,4,0
SN,CS,siddi,127,140,10,1,141,180,169,74,86,1,140,32,1,4,0
SN,CS,siddi,128,140,9,1,141,181,168,74,85,2,141,32,1,4,0
SN,CS,siddi,129,138,9,1,142,182,168,74,85,2,141,32,1,4,0
SN,CS,siddi,130,138,9,1,143,181,169,74,84,2,141,32,1,4,0
SN,CS,siddi,131,138,8,1,144,180,170,74,83,3,141,32,1,4,0
SN,CS,siddi,132,133,8,1,133,179,161,73,82,3,133,30,1,4,0
SN,CS,siddi,133,121,9,1,121,149,143,62,73,3,127,26,1,4,0
SN,CS,siddi,134,121,9,2,121,153,146,62,73,3,127,25,0,4,0
SN,CS,siddi,135,113,9,3,118,143,136,61,69,3,116,20,0,4,0
SN,CS,siddi,136,115,10,3,112,140,134,57,67,3,112,19,0,4,0
SN,CS,siddi,137,104,11,3,99,118,115,51,55,3,101,18,0,4,0
SN,CS,siddi,138,96,12,3,91,111,104,48,47,3,95,14,0,3,0
SN,CS,siddi,139,88,13,3,89,106,97,47,45,3,92,11,0,3,0
SN,CS,siddi,140,73,13,3,69,77,89,46,40,3,81,8,0,3,0
SN,CS,siddi,141,62,14,3,61,69,77,38,34,3,70,7,0,2,0
SN,CS,siddi,142,59,14,3,57,66,74,33,30,4,69,6,0,1,0
SN,CS,siddi,143,57,14,2,48,56,70,32,28,5,65,5,0,1,0
SN,CS,siddi,144,53,14,2,46,54,70,32,27,5,63,5,0,1,0
SN,CS,siddi,145,50,14,2,38,53,66,32,25,4,56,5,0,1,1
SN,CS,siddi,146,33,15,2,16,37,53,24,18,4,43,4,0,1,1
SN,CS,siddi,147,30,15,2,12,30,42,18,11,5,30,0,0,1,1
SN,CS,siddi,148,28,15,2,10,27,40,18,10,6,31,0,0,1,1
SN,CS,siddi,149,28,15,2,10,27,41,17,9,7,33,0,0,0,1
SN,CS,siddi,150,30,15,2,9,26,43,18,8,7,33,0,0,0,1
SN,CS,siddi,151,32,14,2,8,26,44,18,8,8,33,0,0,0,1
SN,CS,siddi,152,33,14,2,8,26,44,19,7,8,34,0,0,0,1
SN,CS,siddi,153,34,15,2,8,25,46,20,6,7,34,0,0,0,1
SN,CS,siddi,154,36,15,2,7,24,48,21,5,7,34,0,0,0,1
SN,CS,siddi,155,38,15,2,6,23,49,22,5,7,34,0,0,0,1
SN,CS,siddi,156,39,15,2,4,23,50,23,5,7,35,0,0,0,1
SN,CS,siddi,157,40,14,2,4,21,52,24,4,8,36,0,0,0,1
SN,CS,siddi,158,41,14,2,3,21,53,25,4,8,36,0,0,0,1
SN,CS,siddi,159,40,15,1,1,15,52,25,1,8,37,0,0,0,1
SN,CS,siddi,160,43,16,0,0,15,54,25,0,8,38,0,0,0,1
SN,CS,siddi,161,42,15,0,0,16,54,25,0,9,38,0,0,0,1
SN,CS,siddi,162,42,15,0,0,16,54,26,0,9,37,0,0,0,1
SN,CS,siddi,163,42,15,0,0,15,55,26,0,9,37,0,0,0,1
SN,CS,siddi,164,42,15,0,0,16,54,26,0,9,37,0,0,0,1
SN,CS,siddi,165,42,15,0,0,16,54,26,0,9,37,0,0,0,1
SN,CS,siddi,166,42,15,0,0,16,54,26,0,9,37,0,0,0,1
SN,CS,siddi,167,43,16,0,0,16,54,26,0,8,36,0,0,0,1
