Text_Type,Book,Chapter,Window,GLL,LGG,GGG,LGL,G,GLG,LLG,GGL,L,GG,LL,LG,LLL,GL
SN,CS,shareera,724,53,130,157,82,7,131,56,119,8,6,2,2,37,8
SN,CS,shareera,725,54,133,161,81,6,134,59,119,8,6,2,2,39,8
SN,CS,shareera,726,55,132,159,83,5,138,57,118,8,6,2,2,41,8
SN,CS,shareera,727,55,131,158,83,6,139,57,119,8,6,2,2,41,8
SN,CS,shareera,728,55,131,160,85,6,139,56,121,8,5,2,2,41,8
SN,CS,shareera,729,58,133,169,83,6,141,55,124,9,5,2,2,42,8
SN,CS,shareera,730,56,128,160,75,6,132,53,119,9,5,2,2,41,8
SN,CS,shareera,731,55,125,160,76,6,133,52,118,9,6,2,2,42,8
SN,CS,shareera,732,54,124,160,76,6,134,52,120,9,6,2,2,41,7
SN,CS,shareera,733,51,110,139,72,6,118,43,108,8,7,2,2,42,7
SN,CS,shareera,734,51,107,138,72,6,118,45,108,8,8,2,2,44,6
SN,CS,shareera,735,49,107,138,71,6,115,46,109,8,8,2,2,44,6
SN,CS,shareera,736,52,110,137,71,6,113,50,114,8,8,2,2,44,5
SN,CS,shareera,737,52,113,141,75,7,115,50,114,8,7,2,2,47,5
SN,CS,shareera,738,52,115,141,76,7,118,50,115,8,8,1,2,48,5
SN,CS,shareera,739,52,121,144,78,7,118,53,116,8,8,1,3,51,5
SN,CS,shareera,740,49,115,144,77,8,118,51,116,7,8,1,3,51,5
SN,CS,shareera,741,51,119,141,76,8,114,51,115,7,8,1,3,50,4
SN,CS,shareera,742,53,113,134,75,8,104,47,107,6,9,1,3,49,4
SN,CS,shareera,743,53,115,136,75,8,102,48,107,6,9,1,3,48,4
SN,CS,shareera,744,54,115,135,75,8,104,49,108,6,9,1,3,47,5
SN,CS,shareera,745,56,114,136,76,8,104,50,111,6,9,1,3,48,5
SN,CS,shareera,746,53,111,133,71,8,101,46,110,6,9,1,3,48,4
