Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,633,11.49,17.42,3.242652417
SN,CS,kalpa,186,11.5,14.56,3.254797182
SN,CS,kalpa,58,11.51,14.36,3.266941948
SN,CS,kalpa,534,11.51,17.41,3.266941948
SN,CS,kalpa,552,11.51,17.84,3.266941948
SN,CS,kalpa,550,11.52,17.29,3.279086714
SN,CS,kalpa,402,11.54,14.96,3.303376245
SN,CS,kalpa,554,11.54,16.85,3.303376245
SN,CS,kalpa,257,11.55,15.89,3.31552101
SN,CS,kalpa,450,11.55,16.05,3.31552101
SN,CS,kalpa,389,11.56,11.53,3.327665776
SN,CS,kalpa,68,11.58,14.04,3.351955307
SN,CS,kalpa,255,11.58,16.14,3.351955307
SN,CS,kalpa,445,11.59,16.51,3.364100073
SN,CS,kalpa,616,11.59,17.47,3.364100073
SN,CS,kalpa,620,11.59,16.5,3.364100073
SN,CS,kalpa,185,11.6,14.81,3.376244838
SN,CS,kalpa,378,11.6,11.02,3.376244838
SN,CS,kalpa,407,11.62,14.4,3.40053437
SN,CS,kalpa,432,11.63,13.55,3.412679135
SN,CS,kalpa,560,11.64,17.59,3.424823901
SN,CS,kalpa,413,11.65,12.4,3.436968667
SN,CS,kalpa,365,11.67,13.48,3.461258198
SN,CS,kalpa,406,11.68,14.24,3.473402963
SN,CS,kalpa,64,11.69,15.16,3.485547729
SN,CS,kalpa,391,11.69,11.49,3.485547729
SN,CS,kalpa,523,11.7,16.02,3.497692495
SN,CS,kalpa,380,11.74,11.68,3.546271557
SN,CS,kalpa,637,11.74,18.15,3.546271557
SN,CS,kalpa,242,11.77,16.07,3.582705854
SN,CS,kalpa,410,11.77,12.54,3.582705854
SN,CS,kalpa,133,11.8,10.98,3.619140151
SN,CS,kalpa,436,11.8,17.19,3.619140151
SN,CS,kalpa,521,11.81,15.06,3.631284916
SN,CS,kalpa,626,11.82,17.14,3.643429682
SN,CS,kalpa,244,11.83,16.44,3.655574447
SN,CS,kalpa,663,11.83,16.68,3.655574447
SN,CS,kalpa,241,11.84,16.34,3.667719213
SN,CS,kalpa,459,11.84,15.63,3.667719213
SN,CS,kalpa,65,11.85,14.99,3.679863979
SN,CS,kalpa,412,11.85,12.25,3.679863979
SN,CS,kalpa,624,11.85,16.23,3.679863979
SN,CS,kalpa,105,11.87,10.99,3.70415351
SN,CS,kalpa,390,11.88,11.41,3.716298275
SN,CS,kalpa,669,11.89,17.57,3.728443041
SN,CS,kalpa,495,11.9,13.98,3.740587807
SN,CS,kalpa,634,11.9,17.83,3.740587807
SN,CS,kalpa,668,11.9,17.91,3.740587807
SN,CS,kalpa,177,11.91,11.72,3.752732572
SN,CS,kalpa,463,11.91,15.49,3.752732572
SN,CS,kalpa,501,11.91,13.39,3.752732572
SN,CS,kalpa,666,11.91,17.23,3.752732572
