Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,998,26.94,32.25,2.819530406
SN,CS,siddi,1006,26.94,32.05,2.819530406
SN,CS,siddi,287,26.96,21.23,2.839178701
SN,CS,siddi,354,26.96,33.22,2.839178701
SN,CS,siddi,560,26.98,33.25,2.858826997
SN,CS,siddi,1031,26.98,29.73,2.858826997
SN,CS,siddi,1113,26.98,32.14,2.858826997
SN,CS,siddi,1354,26.98,30.82,2.858826997
SN,CS,siddi,638,26.99,32.78,2.868651145
SN,CS,siddi,1357,26.99,30.92,2.868651145
SN,CS,siddi,314,27,27.52,2.878475292
SN,CS,siddi,723,27.01,30.29,2.88829944
SN,CS,siddi,954,27.01,28.67,2.88829944
SN,CS,siddi,305,27.02,31.53,2.898123588
SN,CS,siddi,891,27.02,31.03,2.898123588
SN,CS,siddi,692,27.04,29.82,2.917771883
SN,CS,siddi,899,27.04,31.49,2.917771883
SN,CS,siddi,502,27.06,31.59,2.937420179
SN,CS,siddi,490,27.08,33.46,2.957068474
SN,CS,siddi,564,27.08,33.45,2.957068474
SN,CS,siddi,970,27.08,31.7,2.957068474
SN,CS,siddi,355,27.09,32.83,2.966892622
SN,CS,siddi,986,27.09,33.41,2.966892622
SN,CS,siddi,650,27.1,32.94,2.97671677
SN,CS,siddi,348,27.11,33.25,2.986540918
SN,CS,siddi,1010,27.12,31.56,2.996365065
SN,CS,siddi,553,27.13,32.52,3.006189213
SN,CS,siddi,293,27.15,27.79,3.025837509
SN,CS,siddi,352,27.15,33.15,3.025837509
SN,CS,siddi,1015,27.15,32.96,3.025837509
SN,CS,siddi,339,27.16,33.25,3.035661656
SN,CS,siddi,1382,27.17,26.51,3.045485804
SN,CS,siddi,583,27.19,33.45,3.0651341
SN,CS,siddi,1004,27.19,33.09,3.0651341
SN,CS,siddi,690,27.2,30.65,3.074958247
SN,CS,siddi,691,27.2,30.65,3.074958247
SN,CS,siddi,987,27.2,33.32,3.074958247
SN,CS,siddi,1371,27.21,31.13,3.084782395
SN,CS,siddi,873,27.24,30.45,3.114254838
SN,CS,siddi,949,27.24,27.82,3.114254838
SN,CS,siddi,1112,27.24,32.29,3.114254838
SN,CS,siddi,585,27.26,33.53,3.133903134
SN,CS,siddi,950,27.26,27.34,3.133903134
SN,CS,siddi,927,27.27,32.11,3.143727282
SN,CS,siddi,717,27.28,30.66,3.153551429
SN,CS,siddi,337,27.29,33.6,3.163375577
SN,CS,siddi,338,27.29,33.48,3.163375577
SN,CS,siddi,416,27.29,32.64,3.163375577
SN,CS,siddi,587,27.29,33.69,3.163375577
SN,CS,siddi,341,27.3,33.69,3.173199725
SN,CS,siddi,543,27.3,32.97,3.173199725
SN,CS,siddi,547,27.3,33.33,3.173199725
SN,CS,siddi,350,27.31,33.09,3.183023873
SN,CS,siddi,693,27.33,29.22,3.202672168
SN,CS,siddi,306,27.34,31.61,3.212496316
SN,CS,siddi,701,27.34,30.79,3.212496316
SN,CS,siddi,488,27.35,33.45,3.222320464
SN,CS,siddi,735,27.35,28.67,3.222320464
SN,CS,siddi,948,27.35,27.15,3.222320464
SN,CS,siddi,1009,27.35,32,3.222320464
SN,CS,siddi,1352,27.35,31.97,3.222320464
SN,CS,siddi,860,27.36,30.82,3.232144611
SN,CS,siddi,900,27.36,32.67,3.232144611
SN,CS,siddi,994,27.37,32.97,3.241968759
SN,CS,siddi,340,27.38,33.62,3.251792907
SN,CS,siddi,548,27.38,33.46,3.251792907
SN,CS,siddi,724,27.38,30.27,3.251792907
SN,CS,siddi,898,27.38,31.94,3.251792907
SN,CS,siddi,349,27.4,33.75,3.271441202
SN,CS,siddi,576,27.4,32.83,3.271441202
SN,CS,siddi,694,27.43,29.21,3.300913646
SN,CS,siddi,311,27.44,28.81,3.310737793
SN,CS,siddi,718,27.44,31.46,3.310737793
SN,CS,siddi,983,27.44,33.25,3.310737793
SN,CS,siddi,588,27.45,33.25,3.320561941
SN,CS,siddi,720,27.45,30.88,3.320561941
SN,CS,siddi,739,27.45,27.97,3.320561941
SN,CS,siddi,879,27.45,32.11,3.320561941
SN,CS,siddi,953,27.45,28.55,3.320561941
SN,CS,siddi,294,27.46,28.53,3.330386089
SN,CS,siddi,351,27.46,33.44,3.330386089
SN,CS,siddi,563,27.46,33.31,3.330386089
SN,CS,siddi,1248,27.46,26.35,3.330386089
SN,CS,siddi,486,27.47,33.41,3.340210237
SN,CS,siddi,1028,27.47,31.3,3.340210237
SN,CS,siddi,1356,27.48,32.31,3.350034385
SN,CS,siddi,342,27.49,33.72,3.359858532
SN,CS,siddi,544,27.49,33.06,3.359858532
