Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,nidana,5,19.66,17.77,9.188305793
SN,CS,nidana,241,19.66,10.95,9.188305793
SN,CS,nidana,227,19.68,17.85,9.224623207
SN,CS,nidana,4,19.7,16.42,9.260940621
SN,CS,nidana,336,19.76,13.81,9.369892864
SN,CS,nidana,335,19.86,13.58,9.551479935
SN,CS,nidana,1,19.91,12.1,9.64227347
SN,CS,nidana,318,19.94,8.62,9.696749591
SN,CS,nidana,331,20,14.25,9.805701834
SN,CS,nidana,333,20.14,13.87,10.05992373
SN,CS,nidana,215,20.17,19.38,10.11439985
SN,CS,nidana,41,20.19,9.37,10.15071727
SN,CS,nidana,33,20.21,13.06,10.18703468
SN,CS,nidana,244,20.22,16.21,10.20519339
SN,CS,nidana,324,20.26,10.43,10.27782822
SN,CS,nidana,332,20.26,14.22,10.27782822
SN,CS,nidana,94,20.29,8.16,10.33230434
SN,CS,nidana,226,20.3,18.18,10.35046305
SN,CS,nidana,228,20.31,16.44,10.36862175
SN,CS,nidana,242,20.31,14.39,10.36862175
SN,CS,nidana,277,20.33,15.49,10.40493917
SN,CS,nidana,225,20.42,19.03,10.56836753
SN,CS,nidana,309,20.45,14.68,10.62284365
SN,CS,nidana,30,20.46,17.8,10.64100236
SN,CS,nidana,128,20.55,18.2,10.80443072
SN,CS,nidana,308,20.55,15.6,10.80443072
SN,CS,nidana,3,20.67,16.46,11.02233521
SN,CS,nidana,279,20.69,17.32,11.05865262
SN,CS,nidana,320,20.71,8.83,11.09497004
SN,CS,nidana,240,20.76,12.01,11.18576357
SN,CS,nidana,310,20.8,14.81,11.2583984
SN,CS,nidana,246,20.81,17.3,11.27655711
SN,CS,nidana,276,20.83,15.03,11.31287452
SN,CS,nidana,216,20.86,20.65,11.36735064
SN,CS,nidana,93,20.98,7.97,11.58525513
SN,CS,nidana,123,20.98,14.94,11.58525513
SN,CS,nidana,325,21.05,11.3,11.71236608
SN,CS,nidana,121,21.16,18.06,11.91211186
SN,CS,nidana,127,21.35,18.86,12.25712729
SN,CS,nidana,204,21.36,9.96,12.275286
SN,CS,nidana,122,21.37,15.37,12.29344471
SN,CS,nidana,311,21.42,14.48,12.38423824
SN,CS,nidana,6,21.5,19.76,12.5295079
SN,CS,nidana,278,21.53,17.99,12.58398402
SN,CS,nidana,328,21.55,11.48,12.62030143
SN,CS,nidana,126,21.57,19.69,12.65661885
SN,CS,nidana,329,21.57,11.69,12.65661885
SN,CS,nidana,327,21.58,11.76,12.67477756
SN,CS,nidana,224,21.59,18.79,12.69293626
SN,CS,nidana,220,21.63,20.52,12.76557109
SN,CS,nidana,219,21.64,20.5,12.7837298
SN,CS,nidana,223,21.65,19.81,12.80188851
SN,CS,nidana,245,21.68,17.42,12.85636463
SN,CS,nidana,7,21.7,19.22,12.89268204
SN,CS,nidana,29,21.71,19.82,12.91084075
SN,CS,nidana,125,21.71,18.97,12.91084075
SN,CS,nidana,275,21.73,17.56,12.94715816
SN,CS,nidana,221,21.76,20.52,13.00163428
SN,CS,nidana,218,21.83,20.49,13.12874523
SN,CS,nidana,307,21.87,17.57,13.20138006
SN,CS,nidana,222,21.95,20.57,13.34664972
SN,CS,nidana,28,21.98,20.31,13.40112584
SN,CS,nidana,146,22.02,11.72,13.47376067
SN,CS,nidana,69,22.05,12.19,13.52823679
