Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,nidana,1233,7.28,3.14,15.74297189
SN,AH,nidana,1362,7.28,2.89,15.74297189
SN,AH,nidana,451,7.29,3.1,15.82329317
SN,AH,nidana,1207,7.3,3.07,15.90361446
SN,AH,nidana,578,7.31,3.11,15.98393574
SN,AH,nidana,740,7.31,3.4,15.98393574
SN,AH,nidana,1429,7.31,3.24,15.98393574
SN,AH,nidana,9,7.32,3.15,16.06425703
SN,AH,nidana,752,7.32,3.38,16.06425703
SN,AH,nidana,1208,7.32,3.05,16.06425703
SN,AH,nidana,1421,7.32,3.06,16.06425703
SN,AH,nidana,284,7.33,3.19,16.14457831
SN,AH,nidana,366,7.33,3.32,16.14457831
SN,AH,nidana,753,7.33,3.33,16.14457831
SN,AH,nidana,824,7.33,2.91,16.14457831
SN,AH,nidana,1235,7.33,2.78,16.14457831
SN,AH,nidana,1264,7.33,3.06,16.14457831
SN,AH,nidana,1558,7.33,3.06,16.14457831
SN,AH,nidana,910,7.34,3.42,16.2248996
SN,AH,nidana,1217,7.34,3.13,16.2248996
SN,AH,nidana,668,7.35,3.03,16.30522088
SN,AH,nidana,734,7.35,3.08,16.30522088
SN,AH,nidana,927,7.35,3.49,16.30522088
SN,AH,nidana,516,7.36,2.81,16.38554217
SN,AH,nidana,1167,7.36,3.1,16.38554217
SN,AH,nidana,1299,7.36,3.62,16.38554217
SN,AH,nidana,581,7.37,3.2,16.46586345
SN,AH,nidana,637,7.37,3.09,16.46586345
SN,AH,nidana,39,7.38,2.98,16.54618474
SN,AH,nidana,479,7.38,3.06,16.54618474
SN,AH,nidana,817,7.38,2.58,16.54618474
SN,AH,nidana,833,7.38,2.94,16.54618474
SN,AH,nidana,996,7.38,3.33,16.54618474
SN,AH,nidana,133,7.39,3.34,16.62650602
SN,AH,nidana,673,7.39,3.15,16.62650602
SN,AH,nidana,989,7.39,3.36,16.62650602
SN,AH,nidana,13,7.4,3.22,16.70682731
SN,AH,nidana,49,7.4,3.18,16.70682731
SN,AH,nidana,51,7.4,3.17,16.70682731
SN,AH,nidana,669,7.4,3.01,16.70682731
SN,AH,nidana,1241,7.4,2.89,16.70682731
SN,AH,nidana,1242,7.4,2.93,16.70682731
SN,AH,nidana,1266,7.4,3.19,16.70682731
SN,AH,nidana,260,7.41,3.14,16.78714859
SN,AH,nidana,832,7.41,2.93,16.78714859
SN,AH,nidana,1086,7.41,2.93,16.78714859
SN,AH,nidana,1194,7.41,2.81,16.78714859
SN,AH,nidana,1388,7.41,2.83,16.78714859
SN,AH,nidana,160,7.42,2.74,16.86746988
SN,AH,nidana,493,7.42,3.16,16.86746988
SN,AH,nidana,855,7.42,3.16,16.86746988
SN,AH,nidana,1448,7.42,3.28,16.86746988
SN,AH,nidana,274,7.43,3.16,16.94779116
SN,AH,nidana,721,7.43,2.75,16.94779116
SN,AH,nidana,774,7.43,2.94,16.94779116
SN,AH,nidana,1150,7.43,3.25,16.94779116
SN,AH,nidana,272,7.44,3.16,17.02811245
SN,AH,nidana,273,7.44,3.15,17.02811245
SN,AH,nidana,282,7.44,3.23,17.02811245
SN,AH,nidana,576,7.44,3.11,17.02811245
SN,AH,nidana,1303,7.44,3.4,17.02811245
SN,AH,nidana,315,7.45,3,17.10843373
SN,AH,nidana,672,7.45,3.17,17.10843373
SN,AH,nidana,712,7.45,3,17.10843373
SN,AH,nidana,930,7.45,3.16,17.10843373
SN,AH,nidana,958,7.45,2.63,17.10843373
SN,AH,nidana,1195,7.45,2.86,17.10843373
SN,AH,nidana,1218,7.45,3.19,17.10843373
SN,AH,nidana,1385,7.45,2.81,17.10843373
SN,AH,nidana,128,7.46,3.38,17.18875502
SN,AH,nidana,401,7.46,2.93,17.18875502
SN,AH,nidana,814,7.46,2.73,17.18875502
SN,AH,nidana,1203,7.46,2.65,17.18875502
SN,AH,nidana,1204,7.46,2.8,17.18875502
SN,AH,nidana,4,7.47,3.43,17.26907631
